########

## 	Model: LSTM with N=512

########

1742	0.095503
1743	0.095265
1744	0.095117
1745	0.098688
1746	0.094859
1747	0.097834
1748	0.096109
1749	0.105767
1750	0.093218
1751	0.094525
1752	0.100227
1753	0.093965
1754	0.097907
1755	0.096880
1756	0.094533
1757	0.096784
1758	0.100858
1759	0.100368
1760	0.092579
1761	0.096379
1762	0.101967
1763	0.105445
1764	0.093451
1765	0.093496
1766	0.099659
1767	0.094483
1768	0.098496
1769	0.101098
1770	0.094557
1771	0.095578
1772	0.095530
1773	0.100741
1774	0.101712
1775	0.097730
1776	0.100365
1777	0.091235
1778	0.099270
1779	0.101620
1780	0.086252
1781	0.097468
1782	0.098587
1783	0.097108
1784	0.093390
1785	0.099403
1786	0.099819
1787	0.107987
1788	0.104792
1789	0.131217
1790	0.139914
1791	0.126331
1792	0.119373
1793	0.107562
1794	0.096682
1795	0.093614
1796	0.100127
1797	0.098157
1798	0.096759
1799	0.092193
1800	0.089465
1801	0.092497
1802	0.092165
1803	0.099790
1804	0.091478
1805	0.092040
1806	0.101701
1807	0.096774
1808	0.094631
1809	0.092238
1810	0.090109
1811	0.094329
1812	0.098457
1813	0.101649
1814	0.092433
1815	0.095001
1816	0.096696
1817	0.102780
1818	0.098412
1819	0.096593
1820	0.093555
1821	0.092093
1822	0.097866
1823	0.096056
1824	0.094721
1825	0.096840
1826	0.096113
1827	0.098548
1828	0.089156
1829	0.104457
1830	0.103358
1831	0.102210
1832	0.097788
1833	0.101673
1834	0.097178
1835	0.093011
1836	0.092275
1837	0.093410
1838	0.091725
1839	0.094074
1840	0.099526
1841	0.100086
1842	0.101590
1843	0.098961
1844	0.101536
1845	0.105981
1846	0.101826
1847	0.103277
1848	0.128131
1849	0.155135
1850	0.122378
1851	0.112405
1852	0.119092
1853	0.102234
1854	0.096870
1855	0.095897
1856	0.098111
1857	0.094415
1858	0.096142
1859	0.092055
