########

## 	Model: EURNN with N=512 FFT

########

1516	0.234371
1517	0.234873
1518	0.233186
1519	0.230072
1520	0.231029
1521	0.229559
1522	0.229308
1523	0.229242
1524	0.228289
1525	0.229117
1526	0.228548
1527	0.231951
1528	0.235334
1529	0.237085
1530	0.235555
1531	0.231725
1532	0.232403
1533	0.229814
1534	0.229587
1535	0.228483
1536	0.227406
1537	0.232723
1538	0.233581
1539	0.235671
1540	0.232808
1541	0.232941
1542	0.231159
1543	0.227135
1544	0.228326
1545	0.230630
1546	0.233688
1547	0.234608
1548	0.235744
1549	0.230884
1550	0.230827
1551	0.230548
1552	0.238198
1553	0.236584
1554	0.231173
1555	0.230093
1556	0.230507
1557	0.231974
1558	0.233495
1559	0.237331
1560	0.231743
1561	0.238256
1562	0.237490
1563	0.252877
1564	0.271011
1565	0.244895
1566	0.247747
1567	0.231056
1568	0.228668
1569	0.240714
1570	0.231635
1571	0.247575
1572	0.277719
1573	0.254045
1574	0.291637
1575	0.279328
1576	0.323985
1577	0.357300
1578	0.289071
1579	0.243827
1580	0.242396
1581	0.238169
1582	0.233603
1583	0.234281
1584	0.236897
1585	0.232828
1586	0.231450
1587	0.229863
1588	0.231665
1589	0.226754
1590	0.227195
1591	0.233513
1592	0.255848
1593	0.235895
1594	0.229210
1595	0.225691
1596	0.226539
1597	0.226461
1598	0.227562
1599	0.226298
1600	0.228093
1601	0.227272
1602	0.226813
1603	0.225927
1604	0.226737
1605	0.227257
1606	0.226391
1607	0.228815
1608	0.227554
1609	0.227284
1610	0.227472
1611	0.228246
1612	0.226902
1613	0.228356
1614	0.232893
1615	0.227935
1616	0.227607
1617	0.229550
1618	0.230013
1619	0.226887
1620	0.226528
1621	0.226919
1622	0.227250
1623	0.225630
1624	0.226720
1625	0.226980
1626	0.228903
1627	0.228652
1628	0.229931
1629	0.230491
1630	0.226842
1631	0.226688
1632	0.226218
1633	0.230375
1634	0.227569
1635	0.257555
1636	0.278629
1637	0.264956
1638	0.256331
1639	0.235844
1640	0.251840
1641	0.238772
1642	0.229005
1643	0.234934
1644	0.228539
1645	0.227420
1646	0.291925
1647	0.313307
1648	0.252464
1649	0.243724
1650	0.233059
1651	0.227462
1652	0.227146
1653	0.227198
1654	0.227604
1655	0.226005
1656	0.226185
1657	0.224864
1658	0.224475
1659	0.226703
1660	0.226412
1661	0.224853
1662	0.225727
1663	0.226479
1664	0.228144
1665	0.227764
1666	0.228328
